timestamp,overall_score,neck_alignment,shoulder_level,forward_head,spine_straight,body_lean,feedback_count,has_issues
2025-06-10T20:13:16.695606,100,100,100,100,100,100,0,False
2025-06-10T20:13:16.717332,100,100,100,100,100,100,0,False
2025-06-10T20:13:16.748275,100,100,100,100,100,100,0,False
2025-06-10T20:13:16.794515,100,100,100,100,100,100,0,False
2025-06-10T20:13:16.842061,100,100,100,100,100,100,0,False
2025-06-10T20:13:16.887598,100,100,100,100,100,100,0,False
2025-06-10T20:13:16.934684,100,100,100,100,100,100,0,False
2025-06-10T20:13:16.980257,100,100,100,100,100,100,0,False
2025-06-10T20:13:17.011764,100,100,100,100,100,100,0,False
2025-06-10T20:13:17.073471,100,100,100,100,100,100,0,False
2025-06-10T20:13:17.105108,100,100,100,100,100,100,0,False
2025-06-10T20:13:17.151526,100,100,100,100,100,100,0,False
2025-06-10T20:13:17.198752,100,100,100,100,100,100,0,False
2025-06-10T20:13:17.245590,100,100,100,100,100,100,0,False
2025-06-10T20:13:17.292251,100,100,100,100,100,100,0,False
2025-06-10T20:13:17.324350,100,100,100,100,100,100,0,False
2025-06-10T20:13:17.354242,100,100,100,100,100,100,0,False
2025-06-10T20:13:17.401020,100,100,100,100,100,100,0,False
2025-06-10T20:13:17.448295,100,100,100,100,100,100,0,False
2025-06-10T20:13:17.479784,100,100,100,100,100,100,0,False
2025-06-10T20:13:17.525270,100,100,100,100,100,100,0,False
2025-06-10T20:13:17.571343,100,100,100,100,100,100,0,False
2025-06-10T20:13:17.603213,100,100,100,100,100,100,0,False
2025-06-10T20:13:17.650058,100,100,100,100,100,100,0,False
2025-06-10T20:13:17.681722,100,100,100,100,100,100,0,False
2025-06-10T20:13:17.728399,100,100,100,100,100,100,0,False
2025-06-10T20:13:17.774932,100,100,100,100,100,100,0,False
2025-06-10T20:13:17.805935,100,100,100,100,100,100,0,False
2025-06-10T20:13:17.837454,100,100,100,100,100,100,0,False
2025-06-10T20:13:17.883655,100,100,100,100,100,100,0,False
2025-06-10T20:13:17.915352,100,100,100,100,100,100,0,False
2025-06-10T20:13:17.961632,100,100,100,100,100,100,0,False
2025-06-10T20:13:17.992479,100,100,100,100,100,100,0,False
2025-06-10T20:13:18.040437,100,100,100,100,100,100,0,False
2025-06-10T20:13:18.071624,100,100,100,100,100,100,0,False
2025-06-10T20:13:18.102367,100,100,100,100,100,100,0,False
2025-06-10T20:13:18.132841,100,100,100,100,100,100,0,False
2025-06-10T20:13:18.194603,100,100,100,100,100,100,0,False
2025-06-10T20:13:18.225681,100,100,100,100,100,100,0,False
2025-06-10T20:13:18.240626,100,100,100,100,100,100,0,False
2025-06-10T20:13:18.302721,100,100,100,100,100,100,0,False
2025-06-10T20:13:18.334319,100,100,100,100,100,100,0,False
2025-06-10T20:13:18.350203,100,100,100,100,100,100,0,False
2025-06-10T20:13:18.397488,100,100,100,100,100,100,0,False
2025-06-10T20:13:18.443262,100,100,100,100,100,100,0,False
2025-06-10T20:13:18.475338,100,100,100,100,100,100,0,False
2025-06-10T20:13:18.506183,100,100,100,100,100,100,0,False
2025-06-10T20:13:18.551558,100,100,100,100,100,100,0,False
2025-06-10T20:13:18.597337,100,100,100,100,100,100,0,False
2025-06-10T20:13:18.628219,100,100,100,100,100,100,0,False
2025-06-10T20:13:18.659086,100,100,100,100,100,100,0,False
2025-06-10T20:13:18.689536,100,100,100,100,100,100,0,False
2025-06-10T20:13:18.720051,100,100,100,100,100,100,0,False
2025-06-10T20:13:18.750434,100,100,100,100,100,100,0,False
2025-06-10T20:13:18.797367,100,100,100,100,100,100,0,False
2025-06-10T20:13:18.843505,100,100,100,100,100,100,0,False
2025-06-10T20:13:18.873651,100,100,100,100,100,100,0,False
